,Metadata_Col,Metadata_Row,Metadata_Well,Metadata_perturbation_id,Metadata_perturbation_type,QC_cell_count,QC_cell_count_cov,QC_cov_failed,QC_position_effect
1262,35,AE,AE35,pert_0933,control,1478,1.1076867602585851,True,0.4430379746835443
1263,43,C,C43,pert_0934,trt,1371,0.751873325275942,False,0.1269841269841269
1264,14,AE,AE14,pert_0935,trt,1473,-0.5922977194084041,False,0.3670886075949367
1265,23,D,D23,pert_0936,trt,1429,-0.12914468888746403,False,0.0476190476190476
1266,43,W,W43,pert_0937,trt,1515,-0.3739054446075935,False,0.0886075949367088
1267,37,G,G37,pert_0938,trt,1347,-0.13998799658910588,False,0.0632911392405063
1268,35,E,E35,pert_0939,trt,1549,0.28863886835402014,False,0.1428571428571428
1269,9,X,X09,pert_0940,trt,1461,-0.9515113259871072,False,0.2278481012658227
1270,34,AB,AB34,pert_0941,trt,1484,-0.19902104979148016,False,0.2025316455696202
1271,38,Y,Y38,pert_0942,trt,1822,-1.6757631884077246,False,0.2151898734177215
1272,23,AB,AB23,pert_0943,trt,1445,-1.6049268453779557,False,0.2278481012658227
1273,46,N,N46,pert_0944,trt,1404,1.8102723889677284,True,0.1012658227848101
1274,21,Y,Y21,pert_0945,trt,1718,-0.2527426196997039,False,0.2151898734177215
1275,33,Z,Z33,pert_0946,trt,1581,-0.5174767699961603,False,0.1772151898734177
1276,8,O,O08,pert_0947,trt,1492,-1.6903654356979525,False,0.1645569620253164
1277,42,Z,Z42,pert_0948,trt,1499,-0.19564671152630403,False,0.2658227848101265
1278,39,P,P39,pert_0949,trt,1364,0.8122883278879234,False,0.1265822784810126
1279,10,Z,Z10,pert_0950,trt,1463,-0.8749832685805863,False,0.1265822784810126
1280,40,H,H40,pert_0951,trt,1513,0.9026770755900594,False,0.240506329113924
1281,9,AB,AB09,pert_0952,trt,1475,0.5530684670801522,False,0.2151898734177215
1282,2,L,L02,pert_0953,trt,1698,0.5493766144504788,False,0.3544303797468354
1283,39,R,R39,pert_0954,trt,1411,-1.3896509053962367,False,0.1772151898734177
1284,47,AA,AA47,pert_0955,trt,1341,-2.050028727842482,False,0.2911392405063291
1285,9,AA,AA09,pert_0956,trt,1577,0.6361995386594294,False,0.0759493670886076
1286,7,AD,AD07,pert_0957,trt,1681,0.4076096548274129,False,0.2658227848101265
1287,22,F,F22,pert_0958,trt,1485,1.5299557344758692,True,0.0317460317460317
1288,42,J,J42,pert_0959,trt,1463,-1.2066799205013718,False,0.240506329113924
1289,34,AE,AE34,pert_0960,trt,1500,1.5909648279358475,True,0.2911392405063291
1290,9,B,B09,pert_0961,trt,1322,-0.9075657909067506,False,0.1587301587301587
1291,4,W,W04,pert_0962,trt,1344,0.965085051378986,False,0.1772151898734177
1292,33,B,B33,pert_0963,trt,1380,1.765371169513901,True,0.1904761904761904
1293,11,AD,AD11,pert_0964,trt,1539,-0.9479102094143969,False,0.2911392405063291
1294,47,K,K47,pert_0965,trt,1459,0.2874786378091272,False,0.2658227848101265
1295,10,C,C10,pert_0966,trt,1298,-0.47905533996755395,False,0.1428571428571428
1296,5,U,U05,pert_0967,trt,1546,-0.5760929369015546,False,0.2025316455696202
1297,43,D,D43,pert_0968,trt,1509,-0.7646056786693504,False,0.1428571428571428
1298,42,C,C42,pert_0969,trt,1315,0.8807840478393311,False,0.1111111111111111
1299,44,I,I44,pert_0970,trt,1016,-0.1612916280784293,False,0.0632911392405063
1300,46,AD,AD46,pert_0971,trt,1437,-1.0188815552270567,False,0.4177215189873418
1301,31,AE,AE31,pert_0972,trt,1545,-0.0829282646954614,False,0.3924050632911392
1302,18,AC,AC18,pert_0973,trt,1483,-0.7525476383288016,False,0.2278481012658227
1303,45,T,T45,pert_0974,trt,1492,0.035100305096073016,False,0.1139240506329113
1304,17,G,G17,pert_0975,trt,1277,-0.3497622965345397,False,0.1392405063291139
1305,8,M,M08,pert_0976,trt,1600,-1.9451330080985079,False,0.2025316455696202
1306,13,C,C13,pert_0977,trt,1430,0.250574236607612,False,0.1111111111111111
1307,2,AD,AD02,pert_0978,trt,1681,-0.05843888062968296,False,0.379746835443038
1308,27,AC,AC27,pert_0979,trt,1442,-0.09967968577082086,False,0.1772151898734177
1309,10,E,E10,pert_0980,trt,1433,-0.3588252074234688,False,0.0793650793650793
1310,30,G,G30,pert_0981,trt,1696,-0.9298317011416897,False,0.0759493670886076
1311,38,AE,AE38,pert_0982,trt,1452,-2.8493537514985103,False,0.3924050632911392
1312,14,W,W14,pert_0983,trt,1357,1.1063710906799045,True,0.1772151898734177
1313,42,R,R42,pert_0984,trt,1305,0.11598064697669636,False,0.1265822784810126
1314,34,AD,AD34,pert_0985,trt,1624,0.5690046389267398,False,0.3291139240506329
1315,3,W,W03,pert_0986,trt,1511,-0.20779375019718702,False,0.2278481012658227
1316,10,Y,Y10,pert_0987,trt,1370,-0.5060589842979966,False,0.1645569620253164
1317,11,AE,AE11,pert_0988,trt,1447,-1.269004265110682,False,0.2911392405063291
1318,28,D,D28,pert_0989,trt,1156,0.6661261430884896,False,0.1031746031746031
1319,36,AC,AC36,pert_0990,trt,1558,0.2889839870608576,False,0.0886075949367088
1320,3,Y,Y03,pert_0991,trt,1544,1.1466076317182146,True,0.2278481012658227
1321,6,B,B06,pert_0992,trt,1225,-0.9843477713144209,False,0.0952380952380952
1322,46,E,E46,pert_0993,trt,1410,0.813110626156814,False,0.1349206349206349
1323,4,V,V04,pert_0994,trt,752,0.31833762250290504,False,0.189873417721519
1324,38,AA,AA38,pert_0995,trt,1603,-0.666522722673905,False,0.0632911392405063
1325,2,X,X02,pert_0996,trt,1642,0.36801355683227266,False,0.3417721518987341
1326,44,C,C44,pert_0997,trt,1403,0.2244271315320389,False,0.2063492063492063
1327,43,M,M43,pert_0998,trt,1546,0.4915623237279332,False,0.2531645569620253
1328,33,E,E33,pert_0999,trt,1620,-1.438205238455958,False,0.1349206349206349
1329,40,K,K40,pert_1000,trt,1642,-1.0675719505769454,False,0.1645569620253164
1330,24,Y,Y24,pert_1001,trt,1388,1.2596276467817071,True,0.1518987341772152
1331,11,AC,AC11,pert_1002,trt,1526,0.22835503677801525,False,0.2531645569620253
